cond_scale,column_task,column,desired_val,actual_val
1.0,diameter_y_mm,surface_volume_ratio,0.14418532432469444,0.09711734296620037
1.0,diameter_y_mm,elongation,0.7671281052823161,0.7855865596165973
1.0,diameter_y_mm,flatness,0.4918958599429498,0.6010055133195675
1.0,diameter_y_mm,max_3d_diameter_mm,201.21338740379042,110.38622897641908
1.0,diameter_y_mm,num_components,1.0,1.0
1.0,diameter_z_mm,diameter_x_mm,17.578125,12.0
1.0,diameter_z_mm,diameter_y_mm,12.65625,15.0
1.0,diameter_z_mm,diameter_z_mm,8.75,15.0
1.0,diameter_z_mm,volume_ml,0.9075050354003906,1.04
1.0,diameter_z_mm,sphericity,0.7664705471120646,0.8414633563765138
1.0,diameter_z_mm,surface_volume_ratio,0.6516868718919092,0.567245600773738
1.0,diameter_z_mm,elongation,0.5865458277980736,0.7016059611320025
1.0,diameter_z_mm,flatness,0.5044332364445157,0.6897205675232413
1.0,diameter_z_mm,max_3d_diameter_mm,19.121482775026237,14.806259163224121
1.0,diameter_z_mm,num_components,1.0,1.0
1.0,diameter_z_mm,diameter_x_mm,18.13281774520874,15.0
1.0,diameter_z_mm,diameter_y_mm,23.9023506641388,18.0
1.0,diameter_z_mm,diameter_z_mm,8.76246190071106,12.0
1.0,diameter_z_mm,volume_ml,2.464526935551035,1.524
1.0,diameter_z_mm,sphericity,0.725383420257374,0.819818211629377
1.0,diameter_z_mm,surface_volume_ratio,0.4935585086023951,0.5125917049217725
1.0,diameter_z_mm,elongation,0.7750701754182995,0.9452388723788392
1.0,diameter_z_mm,flatness,0.4092913889010326,0.8922410840675097
1.0,diameter_z_mm,max_3d_diameter_mm,26.936169462112005,14.079090362655545
1.0,diameter_z_mm,num_components,1.0,1.0
1.0,diameter_z_mm,diameter_x_mm,11.601569652557373,0.0
1.0,diameter_z_mm,diameter_y_mm,16.242197513580322,0.0
1.0,diameter_z_mm,diameter_z_mm,17.5,0.0
1.0,diameter_z_mm,volume_ml,1.8850353023672994,0.0
1.0,diameter_z_mm,sphericity,0.8505864840741074,0.0
1.0,diameter_z_mm,surface_volume_ratio,0.4602486087652396,0.0
1.0,diameter_z_mm,elongation,0.8066713760386027,0.0
1.0,diameter_z_mm,flatness,0.6329678448109141,0.0
1.0,diameter_z_mm,max_3d_diameter_mm,20.345199304074463,0.0
1.0,diameter_z_mm,num_components,1.0,0.0
1.0,diameter_z_mm,diameter_x_mm,30.445308208465576,0.0
1.0,diameter_z_mm,diameter_y_mm,38.90233826637268,0.0
1.0,diameter_z_mm,diameter_z_mm,25.0,0.0
1.0,diameter_z_mm,volume_ml,10.506040393626677,0.0
1.0,diameter_z_mm,sphericity,0.5360833959770619,0.0
1.0,diameter_z_mm,surface_volume_ratio,0.4118813045741349,0.0
1.0,diameter_z_mm,elongation,0.7641339646138352,0.0
1.0,diameter_z_mm,flatness,0.7004920633958074,0.0
1.0,diameter_z_mm,max_3d_diameter_mm,42.50293622295069,0.0
1.0,diameter_z_mm,num_components,1.0,0.0
1.0,diameter_z_mm,diameter_x_mm,37.265625,27.0
1.0,diameter_z_mm,diameter_y_mm,35.15625,27.0
1.0,diameter_z_mm,diameter_z_mm,28.75,18.0
1.0,diameter_z_mm,volume_ml,12.503196716308594,3.8
1.0,diameter_z_mm,sphericity,0.4634039604269798,0.6716110988024007
1.0,diameter_z_mm,surface_volume_ratio,0.4496252531393302,0.4614291863692434
1.0,diameter_z_mm,elongation,0.7931660769039413,0.6071771913771122
1.0,diameter_z_mm,flatness,0.6422450323777955,0.43057671827711225
1.0,diameter_z_mm,max_3d_diameter_mm,43.53133132171155,29.089926346290223
1.0,diameter_z_mm,num_components,2.0,1.0
1.0,diameter_z_mm,diameter_x_mm,42.50195872783661,45.0
1.0,diameter_z_mm,diameter_y_mm,43.4062557220459,39.0
1.0,diameter_z_mm,diameter_z_mm,36.25,33.0
1.0,diameter_z_mm,volume_ml,30.866514926312163,30.174
1.0,diameter_z_mm,sphericity,0.7799924539063687,0.8577322462052069
1.0,diameter_z_mm,surface_volume_ratio,0.19765047288062176,0.1811012404097899
1.0,diameter_z_mm,elongation,0.9220262088225214,0.8350411243126077
1.0,diameter_z_mm,flatness,0.85010050277552,0.7372362461234035
1.0,diameter_z_mm,max_3d_diameter_mm,46.01776066925506,41.068162614067255
1.0,diameter_z_mm,num_components,1.0,1.0
1.0,diameter_z_mm,diameter_x_mm,71.71875,60.0
1.0,diameter_z_mm,diameter_y_mm,50.625,51.0
1.0,diameter_z_mm,diameter_z_mm,53.75,57.0
1.0,diameter_z_mm,volume_ml,70.53202056884766,75.28
1.0,diameter_z_mm,sphericity,0.7548755030905736,0.8087790826279594
1.0,diameter_z_mm,surface_volume_ratio,0.1550529442288296,0.14161013725840196
1.0,diameter_z_mm,elongation,0.7313007366709103,0.8487170645373402
1.0,diameter_z_mm,flatness,0.6648579074544997,0.6997575822432109
1.0,diameter_z_mm,max_3d_diameter_mm,75.64194670658932,56.89166009657913
1.0,diameter_z_mm,num_components,1.0,1.0
1.0,diameter_z_mm,diameter_x_mm,59.84375953674317,60.0
1.0,diameter_z_mm,diameter_y_mm,58.347665548324585,54.0
1.0,diameter_z_mm,diameter_z_mm,62.5,60.0
1.0,diameter_z_mm,volume_ml,95.25097144592328,90.238
1.0,diameter_z_mm,sphericity,0.6721050124665441,0.8395280244459115
1.0,diameter_z_mm,surface_volume_ratio,0.1575519752244265,0.1284258472213757
1.0,diameter_z_mm,elongation,0.8215797305732226,0.919577111870575
1.0,diameter_z_mm,flatness,0.7282136829733122,0.8068058644186894
1.0,diameter_z_mm,max_3d_diameter_mm,73.50094447122585,55.548268735462145
1.0,diameter_z_mm,num_components,1.0,1.0
1.0,diameter_z_mm,diameter_x_mm,77.6953125,57.0
1.0,diameter_z_mm,diameter_y_mm,44.7890625,48.0
1.0,diameter_z_mm,diameter_z_mm,70.0,69.0
1.0,diameter_z_mm,volume_ml,76.61343562316894,81.579
1.0,diameter_z_mm,sphericity,0.6411269445091188,0.7446531860969959
1.0,diameter_z_mm,surface_volume_ratio,0.1775981547686183,0.14973981077774304
1.0,diameter_z_mm,elongation,0.7298885338226376,0.6836892420225231
1.0,diameter_z_mm,flatness,0.4684376027809573,0.4317046817306564
1.0,diameter_z_mm,max_3d_diameter_mm,82.07794095317743,73.75915673642889
1.0,diameter_z_mm,num_components,1.0,1.0
1.0,diameter_z_mm,diameter_x_mm,110.77734375,63.0
1.0,diameter_z_mm,diameter_y_mm,122.818359375,90.0
1.0,diameter_z_mm,diameter_z_mm,108.0,84.0
1.0,diameter_z_mm,volume_ml,167.47709996509553,90.802
1.0,diameter_z_mm,sphericity,0.15223033222336252,0.293082625798075
1.0,diameter_z_mm,surface_volume_ratio,0.5763210096408342,0.36710946275963086
1.0,diameter_z_mm,elongation,0.5031660624416134,0.7119821503337352
1.0,diameter_z_mm,flatness,0.470652614224551,0.6478232259238415
1.0,diameter_z_mm,max_3d_diameter_mm,145.14685662860998,97.18753992986214
1.0,diameter_z_mm,num_components,1.0,2.0
1.0,volume_ml,diameter_x_mm,7.111328125,3.0
1.0,volume_ml,diameter_y_mm,7.7578125,9.0
1.0,volume_ml,diameter_z_mm,7.0,3.0
1.0,volume_ml,volume_ml,0.18377260096868042,0.037
1.0,volume_ml,sphericity,0.779261978554703,0.8074755823694414
1.0,volume_ml,surface_volume_ratio,1.0915418306965567,1.7973010088946368
1.0,volume_ml,elongation,0.7053771840050462,0.28529870107872785
1.0,volume_ml,flatness,0.6119128541272252,0.28529870107872785
1.0,volume_ml,max_3d_diameter_mm,10.308155046142936,8.743251365736
1.0,volume_ml,num_components,1.0,1.0
1.0,volume_ml,diameter_x_mm,12.417972803115845,0.0
1.0,volume_ml,diameter_y_mm,13.148441791534424,0.0
1.0,volume_ml,diameter_z_mm,7.5,0.0
1.0,volume_ml,volume_ml,0.6452487087256316,0.0
1.0,volume_ml,sphericity,0.7701043472685207,0.0
1.0,volume_ml,surface_volume_ratio,0.7267061486675819,0.0
1.0,volume_ml,elongation,0.7995723093017122,0.0
1.0,volume_ml,flatness,0.629964507683799,0.0
1.0,volume_ml,max_3d_diameter_mm,15.009451859458444,0.0
1.0,volume_ml,num_components,1.0,0.0
2.0,diameter_x_mm,diameter_x_mm,12.417972803115845,0.0
2.0,diameter_x_mm,diameter_y_mm,13.148441791534424,0.0
2.0,diameter_x_mm,diameter_z_mm,7.5,0.0
2.0,diameter_x_mm,volume_ml,0.6452487087256316,0.0
2.0,diameter_x_mm,sphericity,0.7701043472685207,0.0
2.0,diameter_x_mm,surface_volume_ratio,0.7267061486675819,0.0
2.0,diameter_x_mm,elongation,0.7995723093017122,0.0
2.0,diameter_x_mm,flatness,0.629964507683799,0.0
2.0,diameter_x_mm,max_3d_diameter_mm,15.009451859458444,0.0
2.0,diameter_x_mm,num_components,1.0,0.0
