cond_scale,column,desired_val,actual_val
2.0,original_shape_MinorAxisLength,19.213285751885568,21.249573825553203
2.0,original_shape_Sphericity,0.6093539733946535,0.7749789742510707
2.0,original_shape_SurfaceArea,2383.0311082775625,2069.5956217893367
2.0,original_shape_SurfaceVolumeRatio,0.4579909115037209,0.34264828175320144
2.0,original_shape_VoxelVolume,5277.151641845703,6464.0
2.0,diameter_x_mm,21.18359375,0.0
2.0,diameter_y_mm,15.33984375,0.0
2.0,diameter_z_mm,35.0,0.0
2.0,original_shape_Elongation,0.5390158629094776,0.5598627716179565
2.0,original_shape_Flatness,0.3518839562852701,0.3907007575237297
2.0,original_shape_LeastAxisLength,12.54294626343552,13.653495707935804
2.0,original_shape_MajorAxisLength,35.6451211809925,34.94617157763392
2.0,original_shape_Maximum2DDiameterColumn,37.65134843131504,34.17601498127012
2.0,original_shape_Maximum2DDiameterRow,36.89983274013583,21.540659228538015
2.0,original_shape_Maximum2DDiameterSlice,21.27157108274152,32.984845004941285
2.0,original_shape_Maximum3DDiameter,38.1581200993524,35.09985754956849
2.0,original_shape_MeshVolume,5203.227942784622,5714.666666666667
2.0,original_shape_MinorAxisLength,19.213285751885568,19.56506047689078
2.0,original_shape_Sphericity,0.6093539733946535,0.787681337182726
2.0,original_shape_SurfaceArea,2383.0311082775625,1962.4299847192149
2.0,original_shape_SurfaceVolumeRatio,0.4579909115037209,0.34340235383560686
2.0,original_shape_VoxelVolume,5277.151641845703,6144.0
2.0,diameter_x_mm,23.515625,0.0
2.0,diameter_y_mm,19.31640625,0.0
2.0,diameter_z_mm,45.0,0.0
2.0,original_shape_Elongation,0.6029668867817018,0.5994004031592337
2.0,original_shape_Flatness,0.4714467038091035,0.5077201456518666
2.0,original_shape_LeastAxisLength,16.608549003371802,20.560231765325714
2.0,original_shape_MajorAxisLength,35.22890046569691,40.49520575735328
2.0,original_shape_Maximum2DDiameterColumn,42.19675824337694,48.662100242385755
2.0,original_shape_Maximum2DDiameterRow,46.30552927703101,30.463092423455635
2.0,original_shape_Maximum2DDiameterSlice,24.800288733985795,52.61178575186362
2.0,original_shape_Maximum3DDiameter,46.60161161460111,53.21653878260028
2.0,original_shape_MeshVolume,7918.295383453369,12248.0
2.0,original_shape_MinorAxisLength,21.24186043854371,24.272842656973676
2.0,original_shape_Sphericity,0.6869630797090076,0.751492985346039
2.0,original_shape_SurfaceArea,2796.6526321696438,3419.290333487728
2.0,original_shape_SurfaceVolumeRatio,0.3531887226654524,0.27917132050030435
2.0,original_shape_VoxelVolume,7995.000839233398,12928.0
2.0,diameter_x_mm,23.515625,0.0
2.0,diameter_y_mm,19.31640625,0.0
2.0,diameter_z_mm,45.0,0.0
2.0,original_shape_Elongation,0.6029668867817018,0.6078667201248447
2.0,original_shape_Flatness,0.4714467038091035,0.4781687832375766
2.0,original_shape_LeastAxisLength,16.608549003371802,17.893648372307975
2.0,original_shape_MajorAxisLength,35.22890046569691,37.42119728342361
2.0,original_shape_Maximum2DDiameterColumn,42.19675824337694,44.181444068749045
2.0,original_shape_Maximum2DDiameterRow,46.30552927703101,26.832815729997478
2.0,original_shape_Maximum2DDiameterSlice,24.800288733985795,44.721359549995796
2.0,original_shape_Maximum3DDiameter,46.60161161460111,45.43126676640219
2.0,original_shape_MeshVolume,7918.295383453369,9472.0
2.0,original_shape_MinorAxisLength,21.24186043854371,22.747100455819456
2.0,original_shape_Sphericity,0.6869630797090076,0.7775483594488071
2.0,original_shape_SurfaceArea,2796.6526321696438,2784.311629479035
2.0,original_shape_SurfaceVolumeRatio,0.3531887226654524,0.2939518189906076
2.0,original_shape_VoxelVolume,7995.000839233398,9984.0
2.0,diameter_x_mm,23.515625,0.0
2.0,diameter_y_mm,19.31640625,0.0
2.0,diameter_z_mm,45.0,0.0
2.0,original_shape_Elongation,0.6029668867817018,0.5822449108966049
2.0,original_shape_Flatness,0.4714467038091035,0.4718813821735675
2.0,original_shape_LeastAxisLength,16.608549003371802,18.530766898525844
2.0,original_shape_MajorAxisLength,35.22890046569691,39.2699682559416
2.0,original_shape_Maximum2DDiameterColumn,42.19675824337694,45.60701700396552
2.0,original_shape_Maximum2DDiameterRow,46.30552927703101,26.832815729997478
2.0,original_shape_Maximum2DDiameterSlice,24.800288733985795,44.721359549995796
2.0,original_shape_Maximum3DDiameter,46.60161161460111,45.78209256903839
2.0,original_shape_MeshVolume,7918.295383453369,10608.0
