timestamp,node,ct0_bdmap,ct1_bdmap,organ,mode,dice,saved_path
2026-07-14T11:29:01,gpu313_541234,BDMAP_00044126,BDMAP_00063184,duodenum,mask,0.020788,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00063184_to_BDMAP_00044126_duodenum.h5
2026-07-14T11:29:36,gpu313_541234,BDMAP_00039479,BDMAP_00103132,gallbladder,mask,0.542938,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00103132_to_BDMAP_00039479_gallbladder.h5
2026-07-14T11:29:52,gpu313_541234,BDMAP_00058666,BDMAP_00039217,stomach,mask,0.037903,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00039217_to_BDMAP_00058666_stomach.h5
2026-07-14T11:30:15,gpu313_541234,BDMAP_00185239,BDMAP_00175436,duodenum,mask,0.442231,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00175436_to_BDMAP_00185239_duodenum.h5
2026-07-14T11:30:49,gpu313_541234,BDMAP_00069528,BDMAP_00069231,gallbladder,mask,0.000168,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00069231_to_BDMAP_00069528_gallbladder.h5
2026-07-14T11:31:03,gpu313_541234,BDMAP_00069426,BDMAP_00056305,gallbladder,mask,0.240879,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00056305_to_BDMAP_00069426_gallbladder.h5
2026-07-14T11:31:19,gpu313_541234,BDMAP_00040739,BDMAP_00069426,gallbladder,mask,0.017408,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00069426_to_BDMAP_00040739_gallbladder.h5
2026-07-14T11:31:42,gpu313_541234,BDMAP_00178403,BDMAP_00175436,duodenum,mask,0.385637,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00175436_to_BDMAP_00178403_duodenum.h5
2026-07-14T11:32:03,gpu313_541234,BDMAP_00178379,BDMAP_00184914,gallbladder,mask,0.025724,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00184914_to_BDMAP_00178379_gallbladder.h5
2026-07-14T11:32:26,gpu313_541234,BDMAP_00180468,BDMAP_00185404,uterus,mask,0.829546,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00185404_to_BDMAP_00180468_uterus.h5
2026-07-14T11:32:42,gpu313_541234,BDMAP_00059593,BDMAP_00039217,stomach,mask,0.014150,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00039217_to_BDMAP_00059593_stomach.h5
2026-07-14T11:33:02,gpu313_541234,BDMAP_00184807,BDMAP_00182541,stomach,mask,0.273956,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00182541_to_BDMAP_00184807_stomach.h5
2026-07-14T11:33:44,gpu313_541234,BDMAP_00042309,BDMAP_00039437,spleen,mask,0.238864,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00039437_to_BDMAP_00042309_spleen.h5
2026-07-14T11:34:18,gpu313_541234,BDMAP_00184452,BDMAP_00184032,stomach,mask,0.247615,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00184032_to_BDMAP_00184452_stomach.h5
2026-07-14T11:35:11,gpu313_541234,BDMAP_00063022,BDMAP_00062306,duodenum,mask,0.380659,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00062306_to_BDMAP_00063022_duodenum.h5
2026-07-14T11:35:27,gpu313_541234,BDMAP_00069426,BDMAP_00040739,gallbladder,mask,0.005053,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00040739_to_BDMAP_00069426_gallbladder.h5
2026-07-14T11:35:38,gpu313_541234,BDMAP_00069116,BDMAP_00069219,gallbladder,mask,0.007045,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00069219_to_BDMAP_00069116_gallbladder.h5
2026-07-14T11:36:03,gpu313_541234,BDMAP_00184971,BDMAP_00180468,uterus,mask,0.889541,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00180468_to_BDMAP_00184971_uterus.h5
2026-07-14T11:36:45,gpu313_541234,BDMAP_00176071,BDMAP_00175436,duodenum,mask,0.118470,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00175436_to_BDMAP_00176071_duodenum.h5
2026-07-14T11:36:56,gpu313_541234,BDMAP_00069231,BDMAP_00056305,gallbladder,mask,0.000340,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00056305_to_BDMAP_00069231_gallbladder.h5
2026-07-14T11:37:37,gpu313_541234,BDMAP_00056315,BDMAP_00056218,gallbladder,mask,0.601393,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00056218_to_BDMAP_00056315_gallbladder.h5
2026-07-14T11:37:55,gpu313_541234,BDMAP_00184032,BDMAP_00167525,uterus,mask,0.505387,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00167525_to_BDMAP_00184032_uterus.h5
2026-07-14T11:38:13,gpu313_541234,BDMAP_00062027,BDMAP_00062922,duodenum,mask,0.743149,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00062922_to_BDMAP_00062027_duodenum.h5
2026-07-14T11:38:34,gpu313_541234,BDMAP_00068864,BDMAP_00043630,gallbladder,mask,0.231783,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00043630_to_BDMAP_00068864_gallbladder.h5
2026-07-14T11:38:58,gpu313_541234,BDMAP_00179328,BDMAP_00184636,stomach,mask,0.283468,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00184636_to_BDMAP_00179328_stomach.h5
2026-07-14T11:39:14,gpu313_541234,BDMAP_00178697,BDMAP_00168781,duodenum,mask,0.583123,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00168781_to_BDMAP_00178697_duodenum.h5
2026-07-14T11:40:05,gpu313_541234,BDMAP_00068864,BDMAP_00056725,gallbladder,mask,0.309544,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00056725_to_BDMAP_00068864_gallbladder.h5
2026-07-14T11:40:46,gpu313_541234,BDMAP_00167525,BDMAP_00184032,uterus,mask,0.458624,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00184032_to_BDMAP_00167525_uterus.h5
2026-07-14T11:41:48,gpu313_541234,BDMAP_00185239,BDMAP_00175904,duodenum,mask,0.413557,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00175904_to_BDMAP_00185239_duodenum.h5
2026-07-14T11:42:17,gpu313_541234,BDMAP_00178337,BDMAP_00180468,stomach,mask,0.851403,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00180468_to_BDMAP_00178337_stomach.h5
2026-07-14T11:42:51,gpu313_541234,BDMAP_00062225,BDMAP_00061747,prostate,mask,0.811119,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00061747_to_BDMAP_00062225_prostate.h5
2026-07-14T11:43:11,gpu313_541234,BDMAP_00165898,BDMAP_00167723,spleen,mask,0.470552,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00167723_to_BDMAP_00165898_spleen.h5
2026-07-14T11:43:33,gpu313_541234,BDMAP_00170281,BDMAP_00180800,spleen,mask,0.150480,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00180800_to_BDMAP_00170281_spleen.h5
2026-07-14T11:43:51,gpu313_541234,BDMAP_00051532,BDMAP_00052243,esophagus,mask,0.078598,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00052243_to_BDMAP_00051532_esophagus.h5
2026-07-14T11:44:03,gpu313_541234,BDMAP_00038607,BDMAP_00041971,uterus,mask,0.461647,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00041971_to_BDMAP_00038607_uterus.h5
2026-07-14T11:44:54,gpu313_541234,BDMAP_00178329,BDMAP_00182444,esophagus,mask,0.622315,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00182444_to_BDMAP_00178329_esophagus.h5
2026-07-14T11:45:37,gpu313_541234,BDMAP_00060992,BDMAP_00061916,prostate,mask,0.110727,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00061916_to_BDMAP_00060992_prostate.h5
2026-07-14T11:46:02,gpu313_541234,BDMAP_00177768,BDMAP_00182742,gallbladder,mask,0.051736,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00182742_to_BDMAP_00177768_gallbladder.h5
2026-07-14T11:46:19,gpu313_541234,BDMAP_00059154,BDMAP_00062907,stomach,mask,0.860585,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00062907_to_BDMAP_00059154_stomach.h5
2026-07-14T11:46:38,gpu313_541234,BDMAP_00169818,BDMAP_00168898,uterus,mask,0.904408,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00168898_to_BDMAP_00169818_uterus.h5
2026-07-14T11:46:59,gpu313_541234,BDMAP_00178403,BDMAP_00176071,duodenum,mask,0.036080,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00176071_to_BDMAP_00178403_duodenum.h5
2026-07-14T11:47:22,gpu313_541234,BDMAP_00180468,BDMAP_00184971,uterus,mask,0.883777,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00184971_to_BDMAP_00180468_uterus.h5
2026-07-14T11:47:39,gpu313_541234,BDMAP_00166565,BDMAP_00179949,bladder,mask,0.804475,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00179949_to_BDMAP_00166565_bladder.h5
2026-07-14T11:48:08,gpu313_541234,BDMAP_00179106,BDMAP_00167966,bladder,mask,0.820562,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00167966_to_BDMAP_00179106_bladder.h5
2026-07-14T11:48:45,gpu313_541234,BDMAP_00045420,BDMAP_00052482,spleen,mask,0.415623,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00052482_to_BDMAP_00045420_spleen.h5
2026-07-14T11:49:25,gpu313_541234,BDMAP_00173865,BDMAP_00183688,stomach,mask,0.770416,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00183688_to_BDMAP_00173865_stomach.h5
2026-07-14T11:50:02,gpu313_541234,BDMAP_00039963,BDMAP_00042309,spleen,mask,0.806620,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00042309_to_BDMAP_00039963_spleen.h5
2026-07-14T11:50:36,gpu313_541234,BDMAP_00059256,BDMAP_00059636,stomach,mask,0.766184,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00059636_to_BDMAP_00059256_stomach.h5
2026-07-14T11:50:56,gpu313_541234,BDMAP_00100106,BDMAP_00061481,prostate,mask,0.666357,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00061481_to_BDMAP_00100106_prostate.h5
2026-07-14T11:51:20,gpu313_541234,BDMAP_00185047,BDMAP_00179167,duodenum,mask,0.754691,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00179167_to_BDMAP_00185047_duodenum.h5
2026-07-14T11:51:54,gpu313_541234,BDMAP_00182444,BDMAP_00178329,stomach,mask,0.581089,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00178329_to_BDMAP_00182444_stomach.h5
2026-07-14T11:52:07,gpu313_541234,BDMAP_00056305,BDMAP_00056483,gallbladder,mask,0.542182,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00056483_to_BDMAP_00056305_gallbladder.h5
2026-07-14T11:52:28,gpu313_541234,BDMAP_00184636,BDMAP_00173865,stomach,mask,0.441499,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00173865_to_BDMAP_00184636_stomach.h5
2026-07-14T11:53:03,gpu313_541234,BDMAP_00062907,BDMAP_00058988,stomach,mask,0.413455,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00058988_to_BDMAP_00062907_stomach.h5
2026-07-14T11:53:25,gpu313_541234,BDMAP_00178403,BDMAP_00185239,duodenum,mask,0.481043,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00185239_to_BDMAP_00178403_duodenum.h5
2026-07-14T11:54:04,gpu313_541234,BDMAP_00168898,BDMAP_00169818,uterus,mask,0.886349,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00169818_to_BDMAP_00168898_uterus.h5
2026-07-14T11:54:26,gpu313_541234,BDMAP_00178379,BDMAP_00174154,spleen,mask,0.723942,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00174154_to_BDMAP_00178379_spleen.h5
2026-07-14T11:56:04,gpu313_541234,BDMAP_00179328,BDMAP_00173865,stomach,mask,0.497072,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00173865_to_BDMAP_00179328_stomach.h5
2026-07-14T11:56:25,gpu313_541234,BDMAP_00182742,BDMAP_00185116,gallbladder,mask,0.023837,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00185116_to_BDMAP_00182742_gallbladder.h5
2026-07-14T11:57:12,gpu313_541234,BDMAP_00183688,BDMAP_00179328,stomach,mask,0.562363,/scratch/rpinise1/EvoTumor/Residuals/transforms/BDMAP_00179328_to_BDMAP_00183688_stomach.h5
